image_path,true_class,pred_class
data\splits\test\be_injured_by_a_collision\碰伤20180910105812对照样本.jpg,be_injured_by_a_collision,clean_sample
data\splits\test\clean_sample\正常20180912104030对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180913170242对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180914095459对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180914095711对照样本.jpg,clean_sample,scuffing
data\splits\test\dirty_spot\脏点20180831143130对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180831143909对照样本.jpg,dirty_spot,be_injured_by_a_collision
data\splits\test\dirty_spot\脏点20180831143955对照样本.jpg,dirty_spot,be_injured_by_a_collision
data\splits\test\dirty_spot\脏点20180831153018对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180907152023对照样本.jpg,dirty_spot,be_injured_by_a_collision
data\splits\test\dirty_spot\脏点20180907153736对照样本.jpg,dirty_spot,be_injured_by_a_collision
data\splits\test\dirty_spot\脏点20180911104657对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180912094909对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180913104720对照样本.jpg,dirty_spot,clean_sample
data\splits\test\non_conducting\不导电20180830131551对照样本.jpg,non_conducting,orange_peel
data\splits\test\non_conducting\不导电20180830135013对照样本.jpg,non_conducting,orange_peel
data\splits\test\pitted_surface\pitted_surface_201.jpg,pitted_surface,inclusion
data\splits\test\pitted_surface\pitted_surface_211.jpg,pitted_surface,inclusion
data\splits\test\pitted_surface\pitted_surface_225.jpg,pitted_surface,inclusion
data\splits\test\scuffing\擦花20180831105841对照样本.jpg,scuffing,drain_bottom
data\splits\test\scuffing\擦花20180901105545对照样本.jpg,scuffing,convex_powder
data\splits\test\scuffing\擦花20180901141725对照样本.jpg,scuffing,convex_powder
data\splits\test\scuffing\擦花20180906093322对照样本.jpg,scuffing,dirty_spot
data\splits\test\scuffing\擦花20180906093612对照样本.jpg,scuffing,convex_powder
