image_path,true_class,pred_class
data\splits\test\be_injured_by_a_collision\碰伤20180910105812对照样本.jpg,be_injured_by_a_collision,dirty_spot
data\splits\test\clean_sample\正常20180912104030对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180913140458对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\clean_sample\正常20180913141257对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\clean_sample\正常20180913141430对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\clean_sample\正常20180913142249对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\clean_sample\正常20180913170242对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180914095711对照样本.jpg,clean_sample,scuffing
data\splits\test\convex_powder\凸粉20180901140808对照样本.jpg,convex_powder,scuffing
data\splits\test\dirty_spot\脏点20180831143130对照样本.jpg,dirty_spot,clean_sample
data\splits\test\dirty_spot\脏点20180831143909对照样本.jpg,dirty_spot,be_injured_by_a_collision
data\splits\test\dirty_spot\脏点20180831143955对照样本.jpg,dirty_spot,clean_sample
data\splits\test\dirty_spot\脏点20180831150937对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180831153018对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180831155953对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180907153736对照样本.jpg,dirty_spot,scratches
data\splits\test\dirty_spot\脏点20180911104657对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180912094909对照样本.jpg,dirty_spot,scuffing
data\splits\test\drain_bottom\漏底20180912161245对照样本.jpg,drain_bottom,orange_peel
data\splits\test\non_conducting\不导电20180830135013对照样本.jpg,non_conducting,drain_bottom
data\splits\test\pitted_surface\pitted_surface_150.jpg,pitted_surface,rolled_in_scale
data\splits\test\pitted_surface\pitted_surface_199.jpg,pitted_surface,rolled_in_scale
data\splits\test\pitted_surface\pitted_surface_211.jpg,pitted_surface,inclusion
data\splits\test\pitted_surface\pitted_surface_225.jpg,pitted_surface,rolled_in_scale
data\splits\test\pitted_surface\pitted_surface_227.jpg,pitted_surface,rolled_in_scale
data\splits\test\pitted_surface\pitted_surface_294.jpg,pitted_surface,inclusion
data\splits\test\scratches\scratches_139.jpg,scratches,inclusion
data\splits\test\scratches\scratches_141.jpg,scratches,inclusion
data\splits\test\scuffing\擦花20180831110816对照样本.jpg,scuffing,dirty_spot
data\splits\test\scuffing\擦花20180901105545对照样本.jpg,scuffing,convex_powder
data\splits\test\scuffing\擦花20180901141725对照样本.jpg,scuffing,convex_powder
data\splits\test\scuffing\擦花20180915102435对照样本.jpg,scuffing,clean_sample
